Nit_data,X,Y
0.4,407591,356754
0.27,407591,356654
0.5,407591,356554
0.5,407591,356454
0.5,407591,356354
0.5,407591,356254
0.5,407591,356154
0.5,407691,361254
0.5,407691,361154
0.5,407691,361054
0.5,407691,360954
0.5,407691,360854
0.5,407691,360754
0.4,407691,360654
0.4,407691,360554
0.4,407691,360454
0.4,407691,360354
0.4,407691,360254
0.3,407691,360154
0.3,407691,360054
0.3,407691,359954
0.3,407691,359854
0.3,407691,359754
0.2,407691,359654
0.2,407691,359554
0.2,407691,359454
0.2,407691,359354
0.2,407691,359254
0.2,407691,359154
0.2,407691,359054
0.2,407691,358954
0.37,407691,358854
0.37,407691,358754
0.37,407691,358654
0.37,407691,358554
0.37,407691,358454
0.37,407691,358354
0.37,407691,358254
0.37,407691,358154
0.37,407691,358054
0.37,407691,357954
0.37,407691,357854
0.37,407691,357754
0.37,407691,357654
0.37,407691,357554
0.37,407691,357454
0.2,407691,357354
0.42,407691,357254
0.42,407691,357154
0.4,407691,357054
0.4,407691,356954
0.4,407691,356854
0.4,407691,356754
0.2,407691,356654
0.5,407691,356554
0.5,407691,356454
0.5,407691,356354
0.5,407691,356254
0.5,407691,356154
0.5,407791,361254
0.5,407791,361154
0.5,407791,361054
0.5,407791,360954
0.5,407791,360854
0.5,407791,360754
0.4,407791,360654
0.4,407791,360554
0.4,407791,360454
0.4,407791,360354
0.4,407791,360254
0.3,407791,360154
0.3,407791,360054
0.3,407791,359954
0.3,407791,359854
0.3,407791,359754
0.2,407791,359654
0.27,407791,359554
0.27,407791,359454
0.27,407791,359354
0.27,407791,359254
0.27,407791,359154
0.27,407791,359054
0.27,407791,358954
0.37,407791,358854
0.37,407791,358754
0.37,407791,358654
0.37,407791,358554
0.37,407791,358454
0.37,407791,358354
0.37,407791,358254
0.37,407791,358154
0.37,407791,358054
0.37,407791,357954
0.37,407791,357854
0.37,407791,357754
0.37,407791,357654
0.37,407791,357554
0.37,407791,357454
0.2,407791,357354
0.42,407791,357254
0.42,407791,357154
0.4,407791,357054
0.4,407791,356954
0.4,407791,356854
0.4,407791,356754
0.2,407791,356654
0.5,407791,356554
0.5,407791,356454
0.5,407791,356354
0.5,407791,356254
0.5,407791,356154
0.5,407891,361254
0.5,407891,361154
0.5,407891,361054
0.5,407891,360954
0.5,407891,360854
0.5,407891,360754
0.4,407891,360654
0.4,407891,360554
0.4,407891,360454
0.4,407891,360354
0.4,407891,360254
0.3,407891,360154
0.3,407891,360054
0.3,407891,359954
0.3,407891,359854
0.3,407891,359754
0.2,407891,359654
0.27,407891,359554
0.27,407891,359454
0.27,407891,359354
0.27,407891,359254
0.27,407891,359154
0.27,407891,359054
0.27,407891,358954
0.37,407891,358854
0.37,407891,358754
0.37,407891,358654
0.37,407891,358554
0.37,407891,358454
0.37,407891,358354
0.37,407891,358254
0.37,407891,358154
0.37,407891,358054
0.37,407891,357954
0.37,407891,357854
0.37,407891,357754
0.37,407891,357654
0.37,407891,357554
0.37,407891,357454
0.2,407891,357354
0.42,407891,357254
0.42,407891,357154
0.4,407891,357054
0.4,407891,356954
0.4,407891,356854
0.4,407891,356754
0.2,407891,356654
0.5,407891,356554
0.5,407891,356454
0.5,407891,356354
0.5,407891,356254
0.5,407891,356154
0.5,407991,361254
0.5,407991,361154
0.5,407991,361054
0.5,407991,360954
0.5,407991,360854
0.5,407991,360754
0.4,407991,360654
0.4,407991,360554
0.4,407991,360454
0.4,407991,360354
0.4,407991,360254
0.3,407991,360154
0.3,407991,360054
0.3,407991,359954
0.3,407991,359854
0.3,407991,359754
0.2,407991,359654
0.27,407991,359554
0.27,407991,359454
0.27,407991,359354
0.27,407991,359254
0.27,407991,359154
0.27,407991,359054
0.27,407991,358954
0.2,407991,358854
0.2,407991,358754
0.2,407991,358654
0.2,407991,358554
0.2,407991,358454
0.2,407991,358354
0.2,407991,358254
0.2,407991,358154
0.2,407991,358054
0.2,407991,357954
0.2,407991,357854
0.2,407991,357754
0.2,407991,357654
0.2,407991,357554
0.2,407991,357454
0.2,407991,357354
0.2,407991,357254
0.2,407991,357154
0.4,407991,357054
0.4,407991,356954
0.4,407991,356854
0.4,407991,356754
0.2,407991,356654
0.5,407991,356554
0.5,407991,356454
0.5,407991,356354
0.5,407991,356254
0.5,407991,356154
0.5,408091,361254
0.5,408091,361154
0.5,408091,361054
0.5,408091,360954
0.5,408091,360854
0.5,408091,360754
0.4,408091,360654
0.4,408091,360554
0.4,408091,360454
0.4,408091,360354
0.4,408091,360254
0.3,408091,360154
0.3,408091,360054
0.3,408091,359954
0.3,408091,359854
0.3,408091,359754
0.2,408091,359654
0.2,408091,359554
0.2,408091,359454
0.2,408091,359354
0.2,408091,359254
0.2,408091,359154
0.2,408091,359054
0.2,408091,358954
0.2,408091,358854
0.2,408091,358754
0.2,408091,358654
0.2,408091,358554
0.2,408091,358454
0.2,408091,358354
0.2,408091,358254
0.2,408091,358154
0.2,408091,358054
0.2,408091,357954
0.2,408091,357854
0.2,408091,357754
0.2,408091,357654
0.2,408091,357554
0.2,408091,357454
0.1,408091,357354
0.1,408091,357254
0.1,408091,357154
0.4,408091,357054
0.4,408091,356954
0.4,408091,356854
0.4,408091,356754
0.2,408091,356654
0.5,408091,356554
0.5,408091,356454
0.5,408091,356354
0.5,408091,356254
0.5,408091,356154
0.5,408191,361254
0.5,408191,361154
0.5,408191,361054
0.5,408191,360954
0.5,408191,360854
0.5,408191,360754
0.4,408191,360654
0.4,408191,360554
0.4,408191,360454
0.4,408191,360354
0.4,408191,360254
0.3,408191,360154
0.3,408191,360054
0.3,408191,359954
0.3,408191,359854
0.3,408191,359754
0.2,408191,359654
0.2,408191,359554
0.2,408191,359454
0.2,408191,359354
0.2,408191,359254
0.2,408191,359154
0.2,408191,359054
0.2,408191,358954
0.2,408191,358854
0.2,408191,358754
0.2,408191,358654
0.2,408191,358554
0.2,408191,358454
0.2,408191,358354
0.2,408191,358254
0.2,408191,358154
0.2,408191,358054
0.2,408191,357954
0.2,408191,357854
0.2,408191,357754
0.2,408191,357654
0.2,408191,357554
0.2,408191,357454
0.1,408191,357354
0.1,408191,357254
0.1,408191,357154
0.4,408191,357054
0.4,408191,356954
0.4,408191,356854
0.4,408191,356754
0.2,408191,356654
0.5,408191,356554
0.5,408191,356454
0.5,408191,356354
0.5,408191,356254
0.5,408191,356154
0.5,408291,361254
0.5,408291,361154
0.5,408291,361054
0.5,408291,360954
0.5,408291,360854
0.5,408291,360754
0.4,408291,360654
0.4,408291,360554
0.4,408291,360454
0.4,408291,360354
0.4,408291,360254
0.3,408291,360154
0.3,408291,360054
0.3,408291,359954
0.3,408291,359854
0.3,408291,359754
0.2,408291,359654
0.2,408291,359554
0.2,408291,359454
0.2,408291,359354
0.2,408291,359254
0.2,408291,359154
0.2,408291,359054
0.2,408291,358954
0.2,408291,358854
0.2,408291,358754
0.2,408291,358654
0.2,408291,358554
0.2,408291,358454
0.2,408291,358354
0.2,408291,358254
0.2,408291,358154
0.2,408291,358054
0.2,408291,357954
0.2,408291,357854
0.2,408291,357754
0.2,408291,357654
0.2,408291,357554
0.2,408291,357454
0.1,408291,357354
0.1,408291,357254
0.1,408291,357154
0.4,408291,357054
0.4,408291,356954
0.4,408291,356854
0.4,408291,356754
0.2,408291,356654
0.5,408291,356554
0.5,408291,356454
0.5,408291,356354
0.5,408291,356254
0.5,408291,356154
0.5,408391,361254
0.5,408391,361154
