fid,id,Grid_data_Nit_dep,Grid_data_Acid_dep,X,Y
399,399,"0.2","0.25",408091,357854
400,400,"0.2","0.25",408091,357754
401,401,"0.2","0.25",408091,357654
402,402,"0.2","0.25",408091,357554
403,403,"0.2","0.25",408091,357454
404,404,"0.1","0.25",408091,357354
405,405,"0.1","0.25",408091,357254
406,406,"0.1","0.25",408091,357154
407,407,"0.4","0.25",408091,357054
408,408,"0.4","0.25",408091,356954
409,409,"0.4","0.25",408091,356854
410,410,"0.4","0.25",408091,356754
411,411,"0.2","0.25",408091,356654
412,412,"0.5","0.25",408091,356554
413,413,"0.5","0.25",408091,356454
414,414,"0.5","0.25",408091,356354
415,415,"0.5","0.25",408091,356254
416,416,"0.5","0.25",408091,356154
417,417,"0.5","0.18",408191,361254
418,418,"0.5","0.18",408191,361154
419,419,"0.5","0.18",408191,361054
420,420,"0.5","0.18",408191,360954
421,421,"0.5","0.18",408191,360854
422,422,"0.5","0.18",408191,360754
423,423,"0.4","0.1",408191,360654
424,424,"0.4","0.1",408191,360554
425,425,"0.4","0.1",408191,360454
426,426,"0.4","0.1",408191,360354
427,427,"0.4","0.1",408191,360254
428,428,"0.3","0.1",408191,360154
429,429,"0.3","0.5",408191,360054
430,430,"0.3","0.5",408191,359954
431,431,"0.3","0.5",408191,359854
432,432,"0.3","0.5",408191,359754
433,433,"0.2","0.5",408191,359654
434,434,"0.2","0.5",408191,359554
435,435,"0.2","0.5",408191,359454
436,436,"0.2","0.5",408191,359354
437,437,"0.2","0.5",408191,359254
438,438,"0.2","0.5",408191,359154
439,439,"0.2","0.5",408191,359054
440,440,"0.2","0.5",408191,358954
441,441,"0.2","0.5",408191,358854
442,442,"0.2","0.5",408191,358754
443,443,"0.2","0.5",408191,358654
444,444,"0.2","0.5",408191,358554
445,445,"0.2","0.5",408191,358454
446,446,"0.2","0.5",408191,358354
447,447,"0.2","0.5",408191,358254
448,448,"0.2","0.5",408191,358154
449,449,"0.2","0.5",408191,358054
450,450,"0.2","0.5",408191,357954
451,451,"0.2","0.5",408191,357854
452,452,"0.2","0.5",408191,357754
453,453,"0.2","0.5",408191,357654
454,454,"0.2","0.5",408191,357554
455,455,"0.2","0.5",408191,357454
